Restaurant Name,Cuisine Type,Rating,Price for Two (INR),Area Part
Persia Darbar,Luxury,4.2,1700,Jogeshwari West
Facing East,Normal,4.2,1800,Jogeshwari West
Shalimar Restaurant,Normal,4.0,1200,Jogeshwari West
Cafe Alif,Normal,4.1,900,Jogeshwari West
Balaji Veg Restaurant,Normal,4.1,900,Jogeshwari West
Persia Darbar (Highway),Luxury,4.2,1700,Jogeshwari East
Hindustan Hindu Hotel,Normal,4.3,500,Jogeshwari East
New Skyway Restaurant,Normal,4.0,1200,Jogeshwari East
The Mackerel Story,Normal,4.1,1700,Jogeshwari East
Cafe Gulshan,Normal,4.2,600,Jogeshwari West
Tawa Tikka,Budget,4.2,600,Jogeshwari West
Markaz Restaurant,Budget,4.1,400,Jogeshwari West
Surti 12 Handi,Budget,4.5,500,Jogeshwari West
Sai Darbar,Normal,3.9,600,Jogeshwari East
The Waffle Co.,Budget,4.8,400,Jogeshwari East
Tabassum Hotel,Budget,3.8,300,Jogeshwari East
Riyaz Hotel,Budget,3.5,250,Jogeshwari East
Cafe Safar,Normal,4.2,1050,Jogeshwari West
Lucky Restaurant,Normal,3.9,800,Jogeshwari West
Pizza Caprina,Normal,4.0,700,Jogeshwari East
Delhi Zaika,Normal,4.1,1100,Jogeshwari West
Jaffer Bhai's Delhi Darbar,Normal,4.0,1000,Jogeshwari West
Cafe Arfa,Normal,4.2,950,Jogeshwari West
Kebab Korner,Budget,3.7,500,Jogeshwari East
Status Veg Restaurant,Normal,4.0,850,Jogeshwari West
Gajalee,Luxury,4.4,2200,Jogeshwari East
Zaffran,Normal,4.1,1500,Jogeshwari East
Burger King,Budget,4.0,600,Jogeshwari East
Sigree,Normal,4.2,1600,Jogeshwari West
Barbeque Nation,Luxury,4.4,1800,Jogeshwari East
