Place_Name,Type,Entry_Fee,Rating,Area,Visit_Time_Hrs,Dist_from_Jogeshwari_KM
Jogeshwari Caves,Heritage,15,4.4,Jogeshwari East,2,1
Mahakali Caves,Heritage,25,4.1,Jogeshwari East,1.5,3
Sanjay Gandhi NP,Nature,100,4.5,Goregaon East,5,6
Chhota Kashmir,Nature,20,4.1,Goregaon East,2,5
Juhu Beach,Beach,0,4.3,Juhu,3,8
Oberoi Mall,Shopping,0,4.5,Goregaon East,3,4
Film City,Entertainment,1200,4.2,Goregaon East,4,7
Ashok Kamte Park,Park,0,4.2,Jogeshwari East,1,2
Powai Lake,Nature,0,4.1,Powai,2,10
Versova Beach,Beach,0,4.0,Versova,2,6
Infiniti Mall,Shopping,0,4.4,Andheri West,4,5
Gilbert Hill,Heritage,0,4.2,Andheri West,1,4
Aarey Colony,Nature,0,4.0,Goregaon East,3,3
Kanheri Caves,Heritage,25,4.6,Borivali East,3,12
Global Vipassana Pagoda,Landmark,0,4.7,Gorai,3,25
Madh Fort,Heritage,0,3.8,Malad West,2,18
Aksa Beach,Beach,0,4.2,Malad West,3,15
Mindspace Garden,Park,0,4.1,Malad West,1,10
NESCO Center,Exhibition,200,4.3,Goregaon East,3,2
ISKCON Temple,Religious,0,4.8,Juhu,2,9
Prithvi Theatre,Entertainment,500,4.7,Juhu,3,9
Versova Fort,Heritage,0,3.5,Versova,1,7
Bandra Fort,Heritage,0,4.5,Bandra,2,18
Inorbit Mall,Shopping,0,4.4,Malad West,4,12
Snow World,Entertainment,700,4.1,Kurla,3,15
